16/11/06 15:47:54 INFO myLogger: [MapPartitionsRDD]StartAt:7183659130823,TaskAttempt ID:171,Partition Id:3,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [ShuffledRDD]StartAt:7183659435994,TaskAttempt ID:171,Partition Id:3,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [UnionRDD]StartAt:7183664189378,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [MapPartitionsRDD]StartAt:7183665974009,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [ShuffledRDD]StartAt:7183666714361,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [ShuffledRDD]EndAt:7183694710534,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [MapPartitionsRDD]EndAt:7183695516034,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [ShuffledRDD]EndAt:7183696935059,TaskAttempt ID:171,Partition Id:3,Stage Id:12
16/11/06 15:47:54 INFO myLogger: [MapPartitionsRDD]EndAt:7183697491283,TaskAttempt ID:171,Partition Id:3,Stage Id:12
16/11/06 15:47:58 INFO myLogger: [UnionRDD]EndAt:7188007930812,TaskAttempt ID:175,Partition Id:11,Stage Id:12
16/11/06 15:48:15 INFO myLogger: [UnionRDD]EndAt:7204829985011,TaskAttempt ID:171,Partition Id:3,Stage Id:12
16/11/06 15:49:28 INFO myLogger: [MapPartitionsRDD]StartAt:7277601809118,TaskAttempt ID:188,Partition Id:3,Stage Id:13
16/11/06 15:49:28 INFO myLogger: [ShuffledRDD]StartAt:7277602183407,TaskAttempt ID:188,Partition Id:3,Stage Id:13
16/11/06 15:49:28 INFO myLogger: [ShuffledRDD]EndAt:7277642477587,TaskAttempt ID:188,Partition Id:3,Stage Id:13
16/11/06 15:49:28 INFO myLogger: [MapPartitionsRDD]EndAt:7277643224712,TaskAttempt ID:188,Partition Id:3,Stage Id:13
16/11/06 15:49:53 INFO myLogger: [UnionRDD]StartAt:7302279245603,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [MapPartitionsRDD]StartAt:7302280223207,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [ShuffledRDD]StartAt:7302280572711,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [UnionRDD]StartAt:7302284256548,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [MapPartitionsRDD]StartAt:7302285951932,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [ShuffledRDD]StartAt:7302286558750,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [ShuffledRDD]EndAt:7302310972267,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [ShuffledRDD]EndAt:7302311365118,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [MapPartitionsRDD]EndAt:7302311816058,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:49:53 INFO myLogger: [MapPartitionsRDD]EndAt:7302312814074,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:50:07 INFO myLogger: [UnionRDD]EndAt:7316828649648,TaskAttempt ID:202,Partition Id:11,Stage Id:24
16/11/06 15:50:12 INFO myLogger: [UnionRDD]EndAt:7321907950212,TaskAttempt ID:198,Partition Id:3,Stage Id:24
16/11/06 15:51:12 INFO myLogger: [MapPartitionsRDD]StartAt:7381499533043,TaskAttempt ID:214,Partition Id:3,Stage Id:25
16/11/06 15:51:12 INFO myLogger: [ShuffledRDD]StartAt:7381499871907,TaskAttempt ID:214,Partition Id:3,Stage Id:25
16/11/06 15:51:12 INFO myLogger: [ShuffledRDD]EndAt:7381525263417,TaskAttempt ID:214,Partition Id:3,Stage Id:25
16/11/06 15:51:12 INFO myLogger: [MapPartitionsRDD]EndAt:7381526456444,TaskAttempt ID:214,Partition Id:3,Stage Id:25
16/11/06 15:51:37 INFO myLogger: [UnionRDD]StartAt:7406497660072,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [UnionRDD]StartAt:7406497728731,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [MapPartitionsRDD]StartAt:7406498825564,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [MapPartitionsRDD]StartAt:7406498893464,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [ShuffledRDD]StartAt:7406499205824,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [ShuffledRDD]StartAt:7406499271724,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [ShuffledRDD]EndAt:7406519509553,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [MapPartitionsRDD]EndAt:7406519975612,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [ShuffledRDD]EndAt:7406520232617,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:51:37 INFO myLogger: [MapPartitionsRDD]EndAt:7406520770757,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:51:47 INFO myLogger: [UnionRDD]EndAt:7416339564269,TaskAttempt ID:222,Partition Id:3,Stage Id:36
16/11/06 15:51:51 INFO myLogger: [UnionRDD]EndAt:7420601251149,TaskAttempt ID:226,Partition Id:11,Stage Id:36
16/11/06 15:52:57 INFO myLogger: [MapPartitionsRDD]StartAt:7486149809679,TaskAttempt ID:235,Partition Id:3,Stage Id:37
16/11/06 15:52:57 INFO myLogger: [ShuffledRDD]StartAt:7486150273456,TaskAttempt ID:235,Partition Id:3,Stage Id:37
16/11/06 15:52:57 INFO myLogger: [ShuffledRDD]EndAt:7486175244958,TaskAttempt ID:235,Partition Id:3,Stage Id:37
16/11/06 15:52:57 INFO myLogger: [MapPartitionsRDD]EndAt:7486175824116,TaskAttempt ID:235,Partition Id:3,Stage Id:37
16/11/06 15:53:20 INFO myLogger: [UnionRDD]StartAt:7509405859468,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [MapPartitionsRDD]StartAt:7509406664257,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [ShuffledRDD]StartAt:7509406966160,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [UnionRDD]StartAt:7509412303286,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [MapPartitionsRDD]StartAt:7509413224778,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [ShuffledRDD]StartAt:7509413691166,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [ShuffledRDD]EndAt:7509425077359,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [ShuffledRDD]EndAt:7509425318053,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [MapPartitionsRDD]EndAt:7509425649072,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:20 INFO myLogger: [MapPartitionsRDD]EndAt:7509426394788,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:53:30 INFO myLogger: [UnionRDD]EndAt:7519248352585,TaskAttempt ID:244,Partition Id:3,Stage Id:48
16/11/06 15:53:34 INFO myLogger: [UnionRDD]EndAt:7523480654460,TaskAttempt ID:248,Partition Id:11,Stage Id:48
16/11/06 15:54:54 INFO myLogger: [MapPartitionsRDD]StartAt:7603378061149,TaskAttempt ID:261,Partition Id:3,Stage Id:49
16/11/06 15:54:54 INFO myLogger: [ShuffledRDD]StartAt:7603378675546,TaskAttempt ID:261,Partition Id:3,Stage Id:49
16/11/06 15:54:54 INFO myLogger: [ShuffledRDD]EndAt:7603400945327,TaskAttempt ID:261,Partition Id:3,Stage Id:49
16/11/06 15:54:54 INFO myLogger: [MapPartitionsRDD]EndAt:7603401364316,TaskAttempt ID:261,Partition Id:3,Stage Id:49
16/11/06 15:55:17 INFO myLogger: [UnionRDD]StartAt:7626363971131,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [MapPartitionsRDD]StartAt:7626364794508,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [ShuffledRDD]StartAt:7626365061331,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [UnionRDD]StartAt:7626370340942,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [MapPartitionsRDD]StartAt:7626371919907,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [ShuffledRDD]StartAt:7626372397508,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [ShuffledRDD]EndAt:7626380276032,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [MapPartitionsRDD]EndAt:7626380689880,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [ShuffledRDD]EndAt:7626381311813,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:17 INFO myLogger: [MapPartitionsRDD]EndAt:7626381806998,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:22 INFO myLogger: [UnionRDD]EndAt:7631792646046,TaskAttempt ID:272,Partition Id:11,Stage Id:60
16/11/06 15:55:28 INFO myLogger: [UnionRDD]EndAt:7637189327742,TaskAttempt ID:268,Partition Id:3,Stage Id:60
16/11/06 15:56:52 INFO myLogger: [MapPartitionsRDD]StartAt:7721753282687,TaskAttempt ID:286,Partition Id:3,Stage Id:61
16/11/06 15:56:52 INFO myLogger: [ShuffledRDD]StartAt:7721753558203,TaskAttempt ID:286,Partition Id:3,Stage Id:61
16/11/06 15:56:52 INFO myLogger: [ShuffledRDD]EndAt:7721770420733,TaskAttempt ID:286,Partition Id:3,Stage Id:61
16/11/06 15:56:52 INFO myLogger: [MapPartitionsRDD]EndAt:7721770843323,TaskAttempt ID:286,Partition Id:3,Stage Id:61
16/11/06 15:57:16 INFO myLogger: [UnionRDD]StartAt:7745103114539,TaskAttempt ID:294,Partition Id:3,Stage Id:72
16/11/06 15:57:16 INFO myLogger: [MapPartitionsRDD]StartAt:7745103954011,TaskAttempt ID:294,Partition Id:3,Stage Id:72
16/11/06 15:57:16 INFO myLogger: [ShuffledRDD]StartAt:7745104269391,TaskAttempt ID:294,Partition Id:3,Stage Id:72
16/11/06 15:57:16 INFO myLogger: [UnionRDD]StartAt:7745109081345,TaskAttempt ID:298,Partition Id:11,Stage Id:72
16/11/06 15:57:16 INFO myLogger: [MapPartitionsRDD]StartAt:7745110674422,TaskAttempt ID:298,Partition Id:11,Stage Id:72
16/11/06 15:57:16 INFO myLogger: [ShuffledRDD]StartAt:7745111185460,TaskAttempt ID:298,Partition Id:11,Stage Id:72
